experiment_id,page_size_P,alpha_max,seed,num_inserted_records,num_successful_searches,num_unsuccessful_searches,initial_buckets,final_primary_buckets,final_overflow_pages,final_total_pages,final_total_records,final_load_factor_global,real_space_utilization,overflow_page_percentage,num_splits,final_level,final_split_pointer,insert_total_page_accesses,insert_avg_page_accesses,successful_search_total_page_accesses,successful_search_avg_page_accesses,unsuccessful_search_total_page_accesses,unsuccessful_search_avg_page_accesses,insert_runtime_ms,successful_search_runtime_ms,unsuccessful_search_runtime_ms,total_runtime_ms
p10_a095_s44,10,0.95,44,100000,5000,5000,4,1192,9338,10530,100000,0.949668,0.949668,88.679962,1188,8,168,2105311,21.05311,25228,5.0456,46895,9.379,630.644162,3.98013,7.005246,732.920826
p10_a095_s45,10,0.95,45,100000,5000,5000,4,1210,9319,10529,100000,0.949758,0.949758,88.50793,1206,8,186,2118998,21.18998,25182,5.0364,46687,9.3374,623.280737,3.71389,7.526362,717.417066
p10_a095_s46,10,0.95,46,100000,5000,5000,4,1172,9370,10542,100000,0.948587,0.948587,88.882565,1168,8,148,2112328,21.12328,25349,5.0698,47652,9.5304,624.151815,4.203875,6.954345,730.008849
p20_a040_s42,20,0.4,42,100000,5000,5000,4,12453,47,12500,100000,0.4,0.4,0.376,12449,11,4261,467872,4.67872,5007,1.0014,5033,1.0066,4546.471362,1.250463,1.192027,4616.460344
p20_a040_s43,20,0.4,43,100000,5000,5000,4,12443,57,12500,100000,0.4,0.4,0.456,12439,11,4251,467849,4.67849,5003,1.0006,5037,1.0074,4501.171591,1.325791,1.626313,4592.04592
p20_a040_s44,20,0.4,44,100000,5000,5000,4,12442,58,12500,100000,0.4,0.4,0.464,12438,11,4250,467538,4.67538,5003,1.0006,5029,1.0058,4566.305357,1.02265,1.126378,4648.354418
p20_a040_s45,20,0.4,45,100000,5000,5000,4,12433,67,12500,100000,0.4,0.4,0.536,12429,11,4241,467267,4.67267,5005,1.001,5046,1.0092,4568.491279,1.233341,1.290234,4675.250399
p20_a040_s46,20,0.4,46,100000,5000,5000,4,12450,50,12500,100000,0.4,0.4,0.4,12446,11,4258,467311,4.67311,5001,1.0002,5033,1.0066,4548.738128,1.042569,1.150204,4658.477763
p20_a050_s42,20,0.5,42,100000,5000,5000,4,9909,91,10000,100000,0.5,0.5,0.91,9905,11,1717,473053,4.73053,5009,1.0018,5062,1.0124,3643.176144,1.382584,1.327722,3774.913246
p20_a050_s43,20,0.5,43,100000,5000,5000,4,9904,96,10000,100000,0.5,0.5,0.96,9900,11,1712,472778,4.72778,5006,1.0012,5061,1.0122,3757.627392,1.338093,1.430414,3822.555265
p20_a050_s44,20,0.5,44,100000,5000,5000,4,9895,105,10000,100000,0.5,0.5,1.05,9891,11,1703,472266,4.72266,5010,1.002,5055,1.011,3582.824702,0.952026,1.155263,3650.383675
p20_a050_s45,20,0.5,45,100000,5000,5000,4,9898,102,10000,100000,0.5,0.5,1.02,9894,11,1706,472827,4.72827,5009,1.0018,5065,1.013,3625.706778,1.442998,1.726993,3715.615187
p20_a050_s46,20,0.5,46,100000,5000,5000,4,9915,85,10000,100000,0.5,0.5,0.85,9911,11,1723,472368,4.72368,5005,1.001,5046,1.0092,3609.323682,0.95251,1.136945,3674.242055
p20_a060_s42,20,0.6,42,100000,5000,5000,4,8215,119,8334,100000,0.599952,0.599952,1.427886,8211,11,23,515547,5.15547,5014,1.0028,5080,1.016,2824.817675,0.78139,1.049407,2930.108
p20_a060_s43,20,0.6,43,100000,5000,5000,4,8209,125,8334,100000,0.599952,0.599952,1.49988,8205,11,17,515936,5.15936,5009,1.0018,5079,1.0158,2774.457192,0.828692,1.127872,2871.986586
p20_a060_s44,20,0.6,44,100000,5000,5000,4,8210,124,8334,100000,0.599952,0.599952,1.487881,8206,11,18,515201,5.15201,5012,1.0024,5063,1.0126,2793.137528,0.947312,1.188249,2859.003277
p20_a060_s45,20,0.6,45,100000,5000,5000,4,8214,120,8334,100000,0.599952,0.599952,1.439885,8210,11,22,516187,5.16187,5010,1.002,5089,1.0178,2783.552941,0.863573,1.122164,2846.916164
p20_a060_s46,20,0.6,46,100000,5000,5000,4,8220,114,8334,100000,0.599952,0.599952,1.367891,8216,11,28,513241,5.13241,5008,1.0016,5066,1.0132,2948.323722,0.873172,1.116733,3014.11629
p20_a075_s42,20,0.75,42,100000,5000,5000,4,3275,3523,6798,100000,0.73551,0.73551,51.824066,3271,9,1227,620935,6.20935,7195,1.439,11231,2.2462,1494.93436,1.36749,2.413076,1559.25611
p20_a075_s43,20,0.75,43,100000,5000,5000,4,3197,3501,6698,100000,0.746491,0.746491,52.269334,3193,9,1149,628013,6.28013,7248,1.4496,11373,2.2746,1473.756096,1.6324,2.529882,1538.935457
p20_a075_s44,20,0.75,44,100000,5000,5000,4,3193,3542,6735,100000,0.74239,0.74239,52.590943,3189,9,1145,626826,6.26826,7274,1.4548,11389,2.2778,1473.323641,1.996802,2.787977,1542.243157
p20_a075_s45,20,0.75,45,100000,5000,5000,4,3211,3516,6727,100000,0.743273,0.743273,52.266984,3207,9,1163,622551,6.22551,7226,1.4452,11419,2.2838,1473.302721,1.436983,2.507508,1539.772219
p20_a075_s46,20,0.75,46,100000,5000,5000,4,3179,3559,6738,100000,0.74206,0.74206,52.819828,3175,9,1131,622999,6.22999,7316,1.4632,11474,2.2948,1508.948606,1.552965,2.602763,1619.311586
p20_a080_s42,20,0.8,42,100000,5000,5000,4,2396,3855,6251,100000,0.799872,0.799872,61.670133,2392,9,348,730716,7.30716,8417,1.6834,13733,2.7466,1099.564592,2.128191,3.65195,1188.894866
p20_a080_s43,20,0.8,43,100000,5000,5000,4,2458,3792,6250,100000,0.8,0.8,60.672,2454,9,410,740306,7.40306,8318,1.6636,13429,2.6858,1080.68163,2.188811,3.345506,1151.972086
p20_a080_s44,20,0.8,44,100000,5000,5000,4,2399,3853,6252,100000,0.799744,0.799744,61.628279,2395,9,351,733141,7.33141,8444,1.6888,13694,2.7388,1093.512344,2.094784,3.306327,1169.5935
p20_a080_s45,20,0.8,45,100000,5000,5000,4,2450,3801,6251,100000,0.799872,0.799872,60.806271,2446,9,402,737376,7.37376,8297,1.6594,13533,2.7066,1096.500591,2.1694,3.391743,1212.568573
p20_a080_s46,20,0.8,46,100000,5000,5000,4,2402,3848,6250,100000,0.8,0.8,61.568,2398,9,354,737091,7.37091,8396,1.6792,13675,2.735,1065.563213,2.119782,3.63503,1161.481932
p20_a090_s42,20,0.9,42,100000,5000,5000,4,1156,4401,5557,100000,0.899766,0.899766,79.197409,1152,8,132,1233665,12.33665,14242,2.8484,25229,5.0458,607.418874,3.363365,5.614102,710.946267
p20_a090_s43,20,0.9,43,100000,5000,5000,4,1208,4348,5556,100000,0.899928,0.899928,78.257739,1204,8,184,1247827,12.47827,13761,2.7522,24404,4.8808,619.959115,3.145543,5.662959,690.308513
p20_a090_s44,20,0.9,44,100000,5000,5000,4,1207,4355,5562,100000,0.898957,0.898957,78.299173,1203,8,183,1239397,12.39397,13862,2.7724,24485,4.897,623.795823,3.079708,6.081633,748.944582
p20_a090_s45,20,0.9,45,100000,5000,5000,4,1176,4382,5558,100000,0.899604,0.899604,78.84131,1172,8,152,1241867,12.41867,14119,2.8238,24989,4.9978,605.65466,3.283287,5.623345,706.311569
p20_a090_s46,20,0.9,46,100000,5000,5000,4,1157,4404,5561,100000,0.899119,0.899119,79.194389,1153,8,133,1234529,12.34529,14086,2.8172,25263,5.0526,617.538495,3.119705,5.857511,723.292524
p20_a095_s42,20,0.95,42,100000,5000,5000,4,579,4699,5278,100000,0.947329,0.947329,89.029936,575,7,67,2166276,21.66276,25716,5.1432,47974,9.5948,456.012716,5.466538,10.44421,575.165719
p20_a095_s43,20,0.95,43,100000,5000,5000,4,572,4695,5267,100000,0.949307,0.949307,89.139928,568,7,60,2172314,21.72314,25657,5.1314,48393,9.6786,446.531159,5.273846,10.322764,522.075429
p20_a095_s44,20,0.95,44,100000,5000,5000,4,579,4685,5264,100000,0.949848,0.949848,89.00076,575,7,67,2174901,21.74901,25578,5.1156,47807,9.5614,449.016603,5.609163,10.716519,533.740375
p20_a095_s45,20,0.95,45,100000,5000,5000,4,555,4718,5273,100000,0.948227,0.948227,89.474682,551,7,43,2159090,21.5909,26197,5.2394,49211,9.8422,463.295552,6.273746,11.987765,563.706041
p20_a095_s46,20,0.95,46,100000,5000,5000,4,559,4711,5270,100000,0.948767,0.948767,89.392789,555,7,47,2143328,21.43328,25783,5.1566,49173,9.8346,471.509373,5.831647,11.191087,657.053792
p30_a040_s42,30,0.4,42,100000,5000,5000,4,8334,0,8334,100000,0.399968,0.399968,0.0,8330,11,142,466780,4.6678,5000,1.0,5000,1.0,3228.72478,1.007521,1.250472,3293.557392
p30_a040_s43,30,0.4,43,100000,5000,5000,4,8334,0,8334,100000,0.399968,0.399968,0.0,8330,11,142,466873,4.66873,5000,1.0,5000,1.0,3069.020823,1.640848,1.868594,3174.379193
p30_a040_s44,30,0.4,44,100000,5000,5000,4,8334,0,8334,100000,0.399968,0.399968,0.0,8330,11,142,466762,4.66762,5000,1.0,5000,1.0,3047.872412,1.025991,1.257264,3142.931437
p30_a040_s45,30,0.4,45,100000,5000,5000,4,8334,0,8334,100000,0.399968,0.399968,0.0,8330,11,142,466395,4.66395,5000,1.0,5000,1.0,3208.967269,1.049455,1.158567,3272.592128
p30_a040_s46,30,0.4,46,100000,5000,5000,4,8334,0,8334,100000,0.399968,0.399968,0.0,8330,11,142,466481,4.66481,5000,1.0,5000,1.0,3059.875809,1.107264,1.236198,3166.445921
p30_a050_s42,30,0.5,42,100000,5000,5000,4,6470,197,6667,100000,0.499975,0.499975,2.954852,6466,10,2374,458101,4.58101,5028,1.0056,5230,1.046,2551.127984,1.03007,1.37063,2616.241805
p30_a050_s43,30,0.5,43,100000,5000,5000,4,6453,214,6667,100000,0.499975,0.499975,3.20984,6449,10,2357,458006,4.58006,5029,1.0058,5240,1.048,2437.132915,1.499995,1.997082,2519.106838
p30_a050_s44,30,0.5,44,100000,5000,5000,4,6454,213,6667,100000,0.499975,0.499975,3.19484,6450,10,2358,457858,4.57858,5029,1.0058,5260,1.052,2479.721786,1.434075,1.702687,2567.050664
p30_a050_s45,30,0.5,45,100000,5000,5000,4,6461,206,6667,100000,0.499975,0.499975,3.089846,6457,10,2365,457608,4.57608,5028,1.0056,5273,1.0546,2431.141115,1.137768,1.496338,2534.371616
p30_a050_s46,30,0.5,46,100000,5000,5000,4,6473,194,6667,100000,0.499975,0.499975,2.909855,6469,10,2377,457741,4.57741,5020,1.004,5236,1.0472,2471.509097,1.051755,1.435688,2594.811085
p30_a060_s42,30,0.6,42,100000,5000,5000,4,5218,338,5556,100000,0.599952,0.599952,6.083513,5214,10,1122,482404,4.82404,5054,1.0108,5408,1.0816,1972.62973,0.974776,1.684883,2056.020641
p30_a060_s43,30,0.6,43,100000,5000,5000,4,5212,344,5556,100000,0.599952,0.599952,6.191505,5208,10,1116,483714,4.83714,5050,1.01,5387,1.0774,1956.856353,1.15966,1.505443,2050.571725
p30_a060_s44,30,0.6,44,100000,5000,5000,4,5209,347,5556,100000,0.599952,0.599952,6.2455,5205,10,1113,482791,4.82791,5054,1.0108,5399,1.0798,1945.032488,0.934965,1.465827,2027.532665
p30_a060_s45,30,0.6,45,100000,5000,5000,4,5221,335,5556,100000,0.599952,0.599952,6.029518,5217,10,1125,483050,4.8305,5042,1.0084,5432,1.0864,1964.084011,1.330435,1.695096,2053.005114
p30_a060_s46,30,0.6,46,100000,5000,5000,4,5231,325,5556,100000,0.599952,0.599952,5.849532,5227,10,1135,481402,4.81402,5034,1.0068,5399,1.0798,1954.51765,1.278218,1.6172,2052.900197
p30_a075_s42,30,0.75,42,100000,5000,5000,4,3519,926,4445,100000,0.749906,0.749906,20.832396,3515,9,1471,646309,6.46309,5607,1.1214,6912,1.3824,1095.713413,1.466483,2.169559,1161.57527
p30_a075_s43,30,0.75,43,100000,5000,5000,4,3248,1197,4445,100000,0.749906,0.749906,26.929134,3244,9,1200,660940,6.6094,5837,1.1674,7507,1.5014,1067.114196,1.938209,2.770641,1162.775652
p30_a075_s44,30,0.75,44,100000,5000,5000,4,3379,1068,4447,100000,0.749569,0.749569,24.016191,3375,9,1331,660018,6.60018,5691,1.1382,7133,1.4266,1089.522742,1.510336,2.505638,1156.118788
p30_a075_s45,30,0.75,45,100000,5000,5000,4,3412,1033,4445,100000,0.749906,0.749906,23.239595,3408,9,1364,662080,6.6208,5707,1.1414,7175,1.435,1129.553849,1.562165,2.359784,1198.71232
p30_a075_s46,30,0.75,46,100000,5000,5000,4,3440,1008,4448,100000,0.7494,0.7494,22.661871,3436,9,1392,665156,6.65156,5645,1.129,7023,1.4046,1065.26552,1.655749,2.416591,1131.352639
p30_a080_s42,30,0.8,42,100000,5000,5000,4,1939,2229,4168,100000,0.799744,0.799744,53.478887,1935,8,915,750183,7.50183,7381,1.4762,11187,2.2374,780.266245,2.12815,3.707965,871.782234
p30_a080_s43,30,0.8,43,100000,5000,5000,4,1946,2221,4167,100000,0.799936,0.799936,53.299736,1942,8,922,762241,7.62241,7317,1.4634,11106,2.2212,809.950999,1.985397,3.547827,882.577494
p30_a080_s44,30,0.8,44,100000,5000,5000,4,1954,2214,4168,100000,0.799744,0.799744,53.119002,1950,8,930,760998,7.60998,7292,1.4584,11004,2.2008,780.944462,2.249275,3.699817,873.568594
p30_a080_s45,30,0.8,45,100000,5000,5000,4,1972,2195,4167,100000,0.799936,0.799936,52.675786,1968,8,948,762398,7.62398,7236,1.4472,10859,2.1718,770.708311,1.900889,3.444979,874.991421
p30_a080_s46,30,0.8,46,100000,5000,5000,4,1966,2201,4167,100000,0.799936,0.799936,52.819774,1962,8,942,762925,7.62925,7230,1.446,10965,2.193,775.539005,2.290336,3.730745,875.551665
p30_a090_s42,30,0.9,42,100000,5000,5000,4,744,2966,3710,100000,0.898473,0.898473,79.946092,740,7,232,1228710,12.2871,15448,3.0896,27693,5.5386,525.563915,4.679235,8.514933,602.998932
p30_a090_s43,30,0.9,43,100000,5000,5000,4,741,2966,3707,100000,0.8992,0.8992,80.01079,737,7,229,1231043,12.31043,15143,3.0286,27692,5.5384,495.057695,4.787176,9.280359,602.461014
p30_a090_s44,30,0.9,44,100000,5000,5000,4,746,2974,3720,100000,0.896057,0.896057,79.946237,742,7,234,1232821,12.32821,15193,3.0386,27742,5.5484,496.418648,4.642521,9.494257,624.627668
